,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
19,Clear,2012-07-02 23:51:00<br />,10.0,,-,32.0,,1013.1,28.3,7:51 PM,,16.1,Variable,9.3,0
20,Clear,2012-07-03 00:51:00<br />,10.6,,-,34.0,,1013.8,27.8,8:51 PM,,16.1,Variable,9.3,0
21,Clear,2012-07-03 01:51:00<br />,11.1,,-,38.0,,1014.1,26.7,9:51 PM,,16.1,Variable,7.4,0
22,Clear,2012-07-03 02:51:00<br />,12.2,,-,43.0,,1014.1,25.6,10:51 PM,,16.1,Variable,7.4,0
23,Clear,2012-07-03 03:51:00<br />,12.2,,-,43.0,,1014.1,25.6,11:51 PM,,16.1,Variable,7.4,0
0,Clear,2012-07-03 04:51:00<br />,12.2,,-,46.0,,1014.1,24.4,12:51 AM,,16.1,Variable,5.6,0
1,Clear,2012-07-03 05:51:00<br />,12.8,,-,52.0,,1014.4,23.3,1:51 AM,,16.1,Calm,Calm,0
2,Clear,2012-07-03 06:51:00<br />,13.3,,-,53.0,,1013.3,23.3,2:51 AM,,16.1,WNW,5.6,290
3,Clear,2012-07-03 07:51:00<br />,13.3,,-,55.0,,1013.3,22.8,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2012-07-03 08:51:00<br />,13.9,,-,59.0,,1013.3,22.2,4:51 AM,,16.1,West,5.6,280
5,Clear,2012-07-03 10:51:00<br />,13.9,,-,57.0,,1014.0,22.8,6:51 AM,,16.1,WNW,7.4,290
6,Clear,2012-07-03 11:51:00<br />,13.9,,-,53.0,,1014.6,23.9,7:51 AM,,16.1,Calm,Calm,0
7,Clear,2012-07-03 12:51:00<br />,13.9,,-,52.0,,1014.2,24.4,8:51 AM,,16.1,Calm,Calm,0
8,Clear,2012-07-03 13:51:00<br />,15.0,,-,48.0,,1013.9,26.7,9:51 AM,,16.1,Calm,Calm,0
9,Clear,2012-07-03 14:51:00<br />,14.4,,-,42.0,,1013.9,28.3,10:51 AM,,16.1,WSW,9.3,250
10,Partly Cloudy,2012-07-03 15:51:00<br />,13.9,,-,36.0,,1013.2,30.6,11:51 AM,,16.1,North,-9999.0,0
11,Scattered Clouds,2012-07-03 16:51:00<br />,13.9,,-,35.0,,1012.9,31.1,12:51 PM,,16.1,North,-9999.0,0
12,Partly Cloudy,2012-07-03 17:51:00<br />,13.9,,-,35.0,,1012.5,31.1,1:51 PM,,16.1,WNW,9.3,300
13,Clear,2012-07-03 18:51:00<br />,13.3,,-,36.0,,1012.2,30.0,2:51 PM,,16.1,North,-9999.0,0
14,Partly Cloudy,2012-07-03 19:51:00<br />,13.3,,-,35.0,,1011.6,30.6,3:51 PM,,16.1,Variable,11.1,0
15,Partly Cloudy,2012-07-03 20:51:00<br />,16.7,,-,44.0,,1011.4,30.0,4:51 PM,,16.1,Variable,5.6,0
16,Clear,2012-07-03 21:51:00<br />,15.6,,-,44.0,,1011.2,28.9,5:51 PM,,16.1,Variable,9.3,0
17,Clear,2012-07-03 22:51:00<br />,15.6,,-,46.0,,1010.9,28.3,6:51 PM,,16.1,Variable,7.4,0
18,Clear,2012-07-03 23:51:00<br />,16.7,,-,51.0,,1010.5,27.8,7:51 PM,,16.1,Variable,5.6,0
19,Clear,2012-07-04 00:51:00<br />,17.8,,-,56.0,,1010.1,27.2,8:51 PM,,16.1,Calm,Calm,0
20,Clear,2012-07-04 01:51:00<br />,18.3,,-,60.0,,1010.0,26.7,9:51 PM,,16.1,Variable,5.6,0
21,Clear,2012-07-04 02:51:00<br />,17.8,,-,58.0,,1010.0,26.7,10:51 PM,,16.1,Variable,5.6,0
22,Partly Cloudy,2012-07-04 03:51:00<br />,17.8,,-,58.0,,1009.8,26.7,11:51 PM,,16.1,Variable,9.3,0
0,Clear,2012-07-04 04:51:00<br />,17.8,,-,58.0,,1009.8,26.7,12:51 AM,,16.1,Calm,Calm,0
1,Mostly Cloudy,2012-07-04 05:51:00<br />,17.2,,-,56.0,,1009.8,26.7,1:51 AM,,16.1,Variable,9.3,0
2,Overcast,2012-07-04 06:51:00<br />,16.7,,-,52.0,,1009.2,27.2,2:51 AM,,16.1,WSW,14.8,240
3,Mostly Cloudy,2012-07-04 07:51:00<br />,16.7,,-,54.0,,1009.3,26.7,3:51 AM,,16.1,Variable,5.6,0
4,Scattered Clouds,2012-07-04 08:51:00<br />,16.7,,-,56.0,,1009.9,26.1,4:51 AM,,16.1,NW,13.0,310
5,Overcast,2012-07-04 09:51:00<br />,17.8,,-,67.0,0.0,1010.8,24.4,5:51 AM,,16.1,Variable,5.6,0
6,Light Rain,2012-07-04 10:51:00<br />,20.6,Rain,-,93.0,0.04,1010.6,21.7,6:51 AM,,6.4,Calm,Calm,0
7,Light Rain,2012-07-04 11:51:00<br />,20.6,Rain,-,97.0,0.02,1010.4,21.1,7:51 AM,,4.0,Calm,Calm,0
8,Overcast,2012-07-04 12:51:00<br />,20.6,,-,93.0,0.0,1010.9,21.7,8:51 AM,,9.7,Variable,9.3,0
9,Clear,2012-07-04 13:51:00<br />,20.0,,-,82.0,,1010.4,23.3,9:51 AM,,14.5,Variable,5.6,0
10,Clear,2012-07-04 14:51:00<br />,20.6,,-,72.0,,1009.8,26.1,10:51 AM,,16.1,Variable,5.6,0
11,Clear,2012-07-04 15:51:00<br />,20.0,,-,58.0,,1009.2,28.9,11:51 AM,,16.1,Calm,Calm,0
12,Clear,2012-07-04 16:51:00<br />,19.4,,-,51.0,,1008.6,30.6,12:51 PM,,16.1,Variable,5.6,0
13,Clear,2012-07-04 17:51:00<br />,19.4,,-,48.0,,1008.1,31.7,1:51 PM,,16.1,West,13.0,280
14,Clear,2012-07-04 18:51:00<br />,18.9,,-,44.0,,1007.8,32.8,2:51 PM,,16.1,West,9.3,270
15,Clear,2012-07-04 19:51:00<br />,18.9,,-,45.0,,1007.6,32.2,3:51 PM,,16.1,Variable,11.1,0
16,Clear,2012-07-04 20:51:00<br />,18.9,,-,44.0,,1007.1,32.8,4:51 PM,,16.1,WSW,9.3,250
17,Clear,2012-07-04 21:51:00<br />,17.8,,-,41.0,,1006.4,32.8,5:51 PM,,16.1,WNW,13.0,290
18,Clear,2012-07-04 22:51:00<br />,18.3,,-,43.0,,1006.1,32.2,6:51 PM,,16.1,Calm,Calm,0
19,Clear,2012-07-04 23:51:00<br />,19.4,,-,51.0,,1006.5,30.6,7:51 PM,,14.5,Variable,11.1,0
20,Clear,2012-07-05 00:51:00<br />,19.4,,-,51.0,,1006.7,30.6,8:51 PM,,16.1,Calm,Calm,0
21,Scattered Clouds,2012-07-05 01:51:00<br />,19.4,,-,51.0,,1007.5,30.6,9:51 PM,,16.1,Calm,Calm,0
22,Clear,2012-07-05 02:51:00<br />,20.0,,-,55.0,,1006.9,30.0,10:51 PM,,14.5,Variable,7.4,0
23,Clear,2012-07-05 03:51:00<br />,20.0,,-,57.0,,1006.6,29.4,11:51 PM,,14.5,Variable,5.6,0
0,Clear,2012-07-05 04:51:00<br />,20.0,,-,57.0,,1006.9,29.4,12:51 AM,,16.1,West,7.4,280
1,Clear,2012-07-05 05:51:00<br />,20.6,,-,63.0,,1006.9,28.3,1:51 AM,,16.1,Variable,7.4,0
2,Clear,2012-07-05 06:51:00<br />,20.6,,-,63.0,,1006.6,28.3,2:51 AM,,14.5,West,9.3,270
3,Clear,2012-07-05 07:51:00<br />,20.6,,-,65.0,,1006.4,27.8,3:51 AM,,14.5,WNW,9.3,300
4,Clear,2012-07-05 08:51:00<br />,20.6,,-,69.0,,1006.3,26.7,4:51 AM,,14.5,Variable,9.3,0
5,Clear,2012-07-05 09:51:00<br />,21.1,,-,71.0,,1006.9,26.7,5:51 AM,,12.9,Variable,7.4,0
6,Clear,2012-07-05 10:51:00<br />,21.1,,-,69.0,,1007.4,27.2,6:51 AM,,12.9,Calm,Calm,0
7,Clear,2012-07-05 11:51:00<br />,21.1,,-,67.0,,1007.5,27.8,7:51 AM,,12.9,North,-9999.0,0
8,Clear,2012-07-05 12:51:00<br />,20.0,,-,60.0,,1008.1,28.3,8:51 AM,,14.5,Variable,5.6,0
9,Clear,2012-07-05 13:51:00<br />,20.0,,-,55.0,,1007.9,30.0,9:51 AM,,14.5,Variable,7.4,0
10,Partly Cloudy,2012-07-05 14:51:00<br />,18.9,,-,49.0,,1007.8,30.6,10:51 AM,,14.5,Variable,9.3,0
11,Clear,2012-07-05 15:51:00<br />,18.9,,-,44.0,,1007.9,32.8,11:51 AM,,16.1,Variable,11.1,0
12,Clear,2012-07-05 16:51:00<br />,17.8,,-,38.0,,1007.7,33.9,12:51 PM,,16.1,Variable,5.6,0
13,Clear,2012-07-05 17:51:00<br />,16.7,,-,36.0,,1007.5,33.9,1:51 PM,,16.1,North,-9999.0,0
14,Clear,2012-07-05 18:51:00<br />,12.8,,-,27.0,,1007.5,34.4,2:51 PM,,16.1,WNW,7.4,290
15,Clear,2012-07-05 19:51:00<br />,13.3,,-,29.0,,1007.4,33.9,3:51 PM,,16.1,NNE,14.8,20
16,Clear,2012-07-05 20:51:00<br />,12.2,,-,27.0,,1007.8,33.3,4:51 PM,,16.1,NNW,5.6,340
17,Clear,2012-07-05 21:51:00<br />,8.3,,-,21.0,,1007.8,33.3,5:51 PM,,16.1,Variable,5.6,0
18,Clear,2012-07-05 22:51:00<br />,10.0,,-,25.0,,1008.2,32.2,6:51 PM,,16.1,NNE,11.1,30
19,Partly Cloudy,2012-07-05 23:24:00<br />,9.4,,-,26.0,,1009.4,31.1,7:24 PM,,16.1,Variable,5.6,0
20,Clear,2012-07-05 23:51:00<br />,17.8,,-,49.0,,1008.5,29.4,7:51 PM,,16.1,Variable,7.4,0
21,Clear,2012-07-06 00:51:00<br />,17.2,,-,51.0,,1009.7,28.3,8:51 PM,,16.1,Variable,11.1,0
22,Clear,2012-07-06 01:51:00<br />,17.2,,-,54.0,,1010.6,27.2,9:51 PM,,16.1,Variable,7.4,0
23,Clear,2012-07-06 02:51:00<br />,17.2,,-,56.0,,1010.8,26.7,10:51 PM,,16.1,Variable,9.3,0
24,Clear,2012-07-06 03:51:00<br />,16.1,,-,54.0,,1011.2,26.1,11:51 PM,,16.1,ENE,9.3,70
0,Clear,2012-07-06 04:51:00<br />,15.0,,-,50.0,,1011.2,26.1,12:51 AM,,16.1,ENE,13.0,70
1,Clear,2012-07-06 05:51:00<br />,16.7,,-,60.0,,1011.2,25.0,1:51 AM,,16.1,Variable,9.3,0
2,Clear,2012-07-06 06:51:00<br />,17.8,,-,71.0,,1011.2,23.3,2:51 AM,,16.1,Variable,5.6,0
3,Clear,2012-07-06 07:51:00<br />,17.2,,-,68.0,,1011.3,23.3,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2012-07-06 08:51:00<br />,17.8,,-,73.0,,1011.8,22.8,4:51 AM,,16.1,NNE,5.6,20
5,Clear,2012-07-06 09:51:00<br />,17.8,,-,71.0,,1012.5,23.3,5:51 AM,,16.1,NNE,7.4,20
6,Clear,2012-07-06 10:51:00<br />,18.3,,-,71.0,,1013.0,23.9,6:51 AM,,16.1,Calm,Calm,0
7,Clear,2012-07-06 11:51:00<br />,18.9,,-,69.0,,1013.5,25.0,7:51 AM,,16.1,NNE,5.6,20
8,Clear,2012-07-06 12:51:00<br />,18.9,,-,64.0,,1013.3,26.1,8:51 AM,,16.1,Calm,Calm,0
9,Clear,2012-07-06 13:51:00<br />,17.8,,-,56.0,,1013.1,27.2,9:51 AM,,16.1,Calm,Calm,0
10,Clear,2012-07-06 14:51:00<br />,17.2,,-,51.0,,1013.2,28.3,10:51 AM,,16.1,Variable,5.6,0
11,Clear,2012-07-06 15:51:00<br />,15.0,,-,40.0,,1012.8,30.0,11:51 AM,,16.1,Variable,5.6,0
12,Clear,2012-07-06 16:51:00<br />,16.1,,-,38.0,,1012.3,32.2,12:51 PM,,16.1,Variable,11.1,0
13,Clear,2012-07-06 17:51:00<br />,14.4,,-,33.0,,1011.8,32.8,1:51 PM,,16.1,WSW,13.0,240
14,Clear,2012-07-06 18:51:00<br />,12.2,,-,28.0,,1011.4,32.8,2:51 PM,,16.1,Calm,Calm,0
15,Clear,2012-07-06 19:51:00<br />,14.4,,-,33.0,,1011.2,32.8,3:51 PM,,16.1,Calm,Calm,0
16,Clear,2012-07-06 20:51:00<br />,14.4,,-,33.0,,1010.9,32.8,4:51 PM,,16.1,Calm,Calm,0
17,Clear,2012-07-06 21:51:00<br />,17.8,,-,45.0,,1010.8,31.1,5:51 PM,,16.1,Variable,5.6,0
18,Clear,2012-07-06 22:51:00<br />,18.9,,-,53.0,,1010.8,29.4,6:51 PM,,16.1,Variable,7.4,0
19,Clear,2012-07-06 23:51:00<br />,19.4,,-,58.0,,1010.8,28.3,7:51 PM,,16.1,Variable,5.6,0
20,Clear,2012-07-07 00:51:00<br />,19.4,,-,60.0,,1011.0,27.8,8:51 PM,,16.1,Calm,Calm,0
21,Clear,2012-07-07 01:51:00<br />,19.4,,-,60.0,,1011.2,27.8,9:51 PM,,16.1,Calm,Calm,0
22,Scattered Clouds,2012-07-07 02:51:00<br />,17.2,,-,52.0,,1011.3,27.8,10:51 PM,,16.1,Calm,Calm,0
23,Clear,2012-07-07 03:51:00<br />,16.1,,-,47.0,,1011.7,28.3,11:51 PM,,16.1,SW,5.6,230
0,Clear,2012-07-07 04:51:00<br />,17.2,,-,52.0,,1011.2,27.8,12:51 AM,,16.1,Variable,7.4,0
1,Mostly Cloudy,2012-07-07 05:51:00<br />,18.9,,-,60.0,,1010.9,27.2,1:51 AM,,16.1,Variable,5.6,0
2,Clear,2012-07-07 06:51:00<br />,20.0,,-,67.0,,1010.2,26.7,2:51 AM,,14.5,Calm,Calm,0
3,Clear,2012-07-07 07:51:00<br />,20.0,,-,67.0,,1010.3,26.7,3:51 AM,,14.5,WSW,9.3,250
4,Clear,2012-07-07 08:51:00<br />,20.6,,-,72.0,,1010.6,26.1,4:51 AM,,14.5,West,7.4,270
5,Clear,2012-07-07 09:51:00<br />,19.4,,-,66.0,,1010.5,26.1,5:51 AM,,14.5,West,7.4,280
6,Clear,2012-07-07 10:51:00<br />,20.0,,-,69.0,,1010.4,26.1,6:51 AM,,12.9,Variable,5.6,0
7,Clear,2012-07-07 11:51:00<br />,19.4,,-,64.0,,1010.8,26.7,7:51 AM,,14.5,Variable,5.6,0
8,Clear,2012-07-07 12:51:00<br />,18.3,,-,54.0,,1010.9,28.3,8:51 AM,,14.5,Variable,5.6,0
9,Clear,2012-07-07 13:51:00<br />,16.7,,-,44.0,,1010.2,30.0,9:51 AM,,16.1,Variable,9.3,0
10,Clear,2012-07-07 14:51:00<br />,17.8,,-,43.0,,1010.2,31.7,10:51 AM,,14.5,West,9.3,280
11,Clear,2012-07-07 15:51:00<br />,19.4,,-,42.0,,1010.0,33.9,11:51 AM,,14.5,Variable,11.1,0
12,Clear,2012-07-07 16:51:00<br />,18.9,,-,38.0,,1009.9,35.0,12:51 PM,,14.5,North,-9999.0,0
13,Partly Cloudy,2012-07-07 17:51:00<br />,16.1,,31.5,32.0,,1009.9,35.0,1:51 PM,,16.1,WNW,16.7,300
14,Clear,2012-07-07 18:51:00<br />,18.9,,-,45.0,,1009.5,32.2,2:51 PM,,16.1,Variable,11.1,0
15,Clear,2012-07-07 19:51:00<br />,20.0,,-,53.0,,1009.5,30.6,3:51 PM,,14.5,Variable,5.6,0
16,Clear,2012-07-07 20:51:00<br />,20.6,,-,53.0,,1008.7,31.1,4:51 PM,,14.5,Variable,5.6,0
17,Clear,2012-07-07 21:51:00<br />,19.4,,-,48.0,,1008.2,31.7,5:51 PM,,16.1,Calm,Calm,0
18,Clear,2012-07-07 22:51:00<br />,18.9,,-,48.0,,1007.8,31.1,6:51 PM,,16.1,Calm,Calm,0
19,Partly Cloudy,2012-07-07 23:51:00<br />,18.9,,-,51.0,,1008.1,30.0,7:51 PM,,16.1,NNE,5.6,20
20,Clear,2012-07-08 00:51:00<br />,18.9,,-,53.0,,1009.3,29.4,8:51 PM,,16.1,Variable,9.3,0
21,Mostly Cloudy,2012-07-08 01:51:00<br />,18.9,,-,56.0,,1009.4,28.3,9:51 PM,,16.1,Variable,7.4,0
22,Overcast,2012-07-08 02:51:00<br />,18.9,,-,56.0,,1009.9,28.3,10:51 PM,,16.1,Variable,5.6,0
23,Light Rain,2012-07-08 03:47:00<br />,21.0,Rain,-,78.0,0.0,1011.1,25.0,11:47 PM,,2.8,Variable,5.6,0
24,Heavy Rain,2012-07-08 03:51:00<br />,21.7,Rain,-,93.0,0.08,1010.3,22.8,11:51 PM,,1.2,Variable,9.3,0
0,Light Rain,2012-07-08 04:10:00<br />,22.8,Rain,-,100.0,0.23,1010.7,22.8,12:10 AM,,2.4,Calm,Calm,0
1,Light Rain,2012-07-08 04:14:00<br />,22.2,Rain,-,96.0,0.23,1010.7,22.8,12:14 AM,,4.0,Calm,Calm,0
2,Heavy Rain,2012-07-08 04:30:00<br />,22.2,Rain,29.6,96.0,0.26,1012.1,22.8,12:30 AM,,1.2,Variable,9.3,0
3,Light Rain,2012-07-08 04:41:00<br />,22.2,Rain,-,100.0,0.42,1011.1,22.2,12:41 AM,,4.0,Calm,Calm,0
4,Mostly Cloudy,2012-07-08 04:48:00<br />,22.0,,-,94.0,0.42,1011.1,23.0,12:48 AM,,4.8,West,5.6,270
5,Mostly Cloudy,2012-07-08 04:51:00<br />,22.2,,-,100.0,0.42,1010.1,22.2,12:51 AM,,4.0,Calm,Calm,0
6,Mostly Cloudy,2012-07-08 05:04:00<br />,22.2,,-,96.0,,1011.1,22.8,1:04 AM,,6.4,WNW,5.6,290
7,Light Rain,2012-07-08 05:42:00<br />,22.2,Rain,-,96.0,0.02,1010.7,22.8,1:42 AM,,4.0,Variable,5.6,0
8,Light Rain,2012-07-08 05:51:00<br />,21.7,Rain,-,97.0,0.09,1009.8,22.2,1:51 AM,,2.8,West,7.4,280
9,Overcast,2012-07-08 05:59:00<br />,22.2,,-,100.0,0.0,1010.4,22.2,1:59 AM,,4.0,Calm,Calm,0
10,Mostly Cloudy,2012-07-08 06:08:00<br />,22.2,,-,96.0,0.0,1010.4,22.8,2:08 AM,,4.8,Calm,Calm,0
11,Partly Cloudy,2012-07-08 06:18:00<br />,22.2,,-,96.0,0.0,1010.4,22.8,2:18 AM,,4.0,West,5.6,280
12,Scattered Clouds,2012-07-08 06:29:00<br />,22.2,,-,96.0,0.0,1010.4,22.8,2:29 AM,,9.7,Calm,Calm,0
13,Overcast,2012-07-08 06:51:00<br />,22.2,,-,96.0,0.0,1009.6,22.8,2:51 AM,,8.0,WNW,5.6,300
14,Overcast,2012-07-08 07:51:00<br />,21.7,,-,93.0,,1009.6,22.8,3:51 AM,,12.9,WNW,5.6,290
15,Overcast,2012-07-08 08:51:00<br />,21.7,,-,91.0,,1010.2,23.3,4:51 AM,,11.3,Calm,Calm,0
16,Mostly Cloudy,2012-07-08 09:51:00<br />,20.6,,-,85.0,,1010.2,23.3,5:51 AM,,14.5,Variable,5.6,0
17,Partly Cloudy,2012-07-08 10:51:00<br />,20.0,,-,82.0,,1010.8,23.3,6:51 AM,,16.1,Calm,Calm,0
18,Scattered Clouds,2012-07-08 11:51:00<br />,19.4,,-,74.0,,1011.6,24.4,7:51 AM,,16.1,Calm,Calm,0
19,Clear,2012-07-08 12:51:00<br />,20.6,,-,79.0,,1011.5,24.4,8:51 AM,,16.1,Variable,7.4,0
20,Clear,2012-07-08 13:51:00<br />,17.2,,-,58.0,,1011.3,26.1,9:51 AM,,16.1,NNW,7.4,340
21,Clear,2012-07-08 14:51:00<br />,18.3,,-,56.0,,1010.8,27.8,10:51 AM,,16.1,Variable,5.6,0
22,Mostly Cloudy,2012-07-08 15:51:00<br />,15.0,,-,41.0,,1010.9,29.4,11:51 AM,,16.1,Variable,7.4,0
23,Clear,2012-07-08 16:51:00<br />,13.3,,-,34.0,,1010.7,31.1,12:51 PM,,16.1,Variable,11.1,0
24,Clear,2012-07-08 17:51:00<br />,13.9,,-,33.0,,1010.4,32.2,1:51 PM,,16.1,NE,7.4,50
25,Clear,2012-07-08 18:51:00<br />,13.9,,-,33.0,,1010.0,32.2,2:51 PM,,16.1,Calm,Calm,0
26,Partly Cloudy,2012-07-08 19:51:00<br />,16.1,,-,41.0,,1009.6,30.6,3:51 PM,,16.1,Calm,Calm,0
27,Mostly Cloudy,2012-07-08 20:51:00<br />,16.1,,-,39.0,,1009.3,31.7,4:51 PM,,16.1,Calm,Calm,0
28,Mostly Cloudy,2012-07-08 21:51:00<br />,17.2,,-,48.0,,1009.1,29.4,5:51 PM,,16.1,South,13.0,170
29,Scattered Clouds,2012-07-08 22:51:00<br />,17.8,,-,53.0,,1009.1,28.3,6:51 PM,,16.1,Variable,7.4,0
30,Mostly Cloudy,2012-07-08 23:51:00<br />,20.0,,-,62.0,,1009.4,27.8,7:51 PM,,16.1,Variable,11.1,0
31,Scattered Clouds,2012-07-09 00:51:00<br />,19.4,,-,64.0,,1009.8,26.7,8:51 PM,,16.1,Calm,Calm,0
32,Clear,2012-07-09 01:51:00<br />,20.0,,-,69.0,,1010.7,26.1,9:51 PM,,16.1,Calm,Calm,0
33,Clear,2012-07-09 02:51:00<br />,16.7,,-,51.0,,1011.1,27.8,10:51 PM,,16.1,Calm,Calm,0
34,Mostly Cloudy,2012-07-09 03:51:00<br />,14.4,,-,45.0,,1011.6,27.2,11:51 PM,,16.1,NNE,13.0,20
0,Clear,2012-07-09 04:51:00<br />,13.9,,-,47.0,,1011.2,26.1,12:51 AM,,16.1,Variable,7.4,0
1,Scattered Clouds,2012-07-09 05:51:00<br />,13.3,,-,48.0,,1011.4,25.0,1:51 AM,,16.1,NE,9.3,50
