Conditions,DateUTC,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
Clear,7/5/2012 23:51:00,17.8,,,49,,1008.5,29.4,7:51 PM,,16.1,Variable,7.4,0
Clear,7/6/2012 0:51:00,17.2,,,51,,1009.7,28.3,8:51 PM,,16.1,Variable,11.1,0
Clear,7/6/2012 1:51:00,17.2,,,54,,1010.6,27.2,9:51 PM,,16.1,Variable,7.4,0
Clear,7/6/2012 2:51:00,17.2,,,56,,1010.8,26.7,10:51 PM,,16.1,Variable,9.3,0
Clear,7/6/2012 3:51:00,16.1,,,54,,1011.2,26.1,11:51 PM,,16.1,ENE,9.3,70
Clear,7/6/2012 4:51:00,15,,,50,,1011.2,26.1,12:51 AM,,16.1,ENE,13,70
Clear,7/6/2012 5:51:00,16.7,,,60,,1011.2,25,1:51 AM,,16.1,Variable,9.3,0
Clear,7/6/2012 6:51:00,17.8,,,71,,1011.2,23.3,2:51 AM,,16.1,Variable,5.6,0
Clear,7/6/2012 7:51:00,17.2,,,68,,1011.3,23.3,3:51 AM,,16.1,Calm,Calm,0
Clear,7/6/2012 8:51:00,17.8,,,73,,1011.8,22.8,4:51 AM,,16.1,NNE,5.6,20
Clear,7/6/2012 9:51:00,17.8,,,71,,1012.5,23.3,5:51 AM,,16.1,NNE,7.4,20
Clear,7/6/2012 10:51:00,18.3,,,71,,1013,23.9,6:51 AM,,16.1,Calm,Calm,0
Clear,7/6/2012 11:51:00,18.9,,,69,,1013.5,25,7:51 AM,,16.1,NNE,5.6,20
Clear,7/6/2012 12:51:00,18.9,,,64,,1013.3,26.1,8:51 AM,,16.1,Calm,Calm,0
Clear,7/6/2012 13:51:00,17.8,,,56,,1013.1,27.2,9:51 AM,,16.1,Calm,Calm,0
Clear,7/6/2012 14:51:00,17.2,,,51,,1013.2,28.3,10:51 AM,,16.1,Variable,5.6,0
Clear,7/6/2012 15:51:00,15,,,40,,1012.8,30,11:51 AM,,16.1,Variable,5.6,0
Clear,7/6/2012 16:51:00,16.1,,,38,,1012.3,32.2,12:51 PM,,16.1,Variable,11.1,0
Clear,7/6/2012 17:51:00,14.4,,,33,,1011.8,32.8,1:51 PM,,16.1,WSW,13,240
Clear,7/6/2012 18:51:00,12.2,,,28,,1011.4,32.8,2:51 PM,,16.1,Calm,Calm,0
Clear,7/6/2012 19:51:00,14.4,,,33,,1011.2,32.8,3:51 PM,,16.1,Calm,Calm,0
Clear,7/6/2012 20:51:00,14.4,,,33,,1010.9,32.8,4:51 PM,,16.1,Calm,Calm,0
Clear,7/6/2012 21:51:00,17.8,,,45,,1010.8,31.1,5:51 PM,,16.1,Variable,5.6,0
Clear,7/6/2012 22:51:00,18.9,,,53,,1010.8,29.4,6:51 PM,,16.1,Variable,7.4,0
Clear,7/6/2012 23:51:00,19.4,,,58,,1010.8,28.3,7:51 PM,,16.1,Variable,5.6,0
Clear,7/7/2012 0:51:00,19.4,,,60,,1011,27.8,8:51 PM,,16.1,Calm,Calm,0
Clear,7/7/2012 1:51:00,19.4,,,60,,1011.2,27.8,9:51 PM,,16.1,Calm,Calm,0
Scattered Clouds,7/7/2012 2:51:00,17.2,,,52,,1011.3,27.8,10:51 PM,,16.1,Calm,Calm,0
Clear,7/7/2012 3:51:00,16.1,,,47,,1011.7,28.3,11:51 PM,,16.1,SW,5.6,230
Clear,7/7/2012 4:51:00,17.2,,,52,,1011.2,27.8,12:51 AM,,16.1,Variable,7.4,0
Mostly Cloudy,7/7/2012 5:51:00,18.9,,,60,,1010.9,27.2,1:51 AM,,16.1,Variable,5.6,0
Clear,7/7/2012 6:51:00,20,,,67,,1010.2,26.7,2:51 AM,,14.5,Calm,Calm,0
Clear,7/7/2012 7:51:00,20,,,67,,1010.3,26.7,3:51 AM,,14.5,WSW,9.3,250
Clear,7/7/2012 8:51:00,20.6,,,72,,1010.6,26.1,4:51 AM,,14.5,West,7.4,270
Clear,7/7/2012 9:51:00,19.4,,,66,,1010.5,26.1,5:51 AM,,14.5,West,7.4,280
Clear,7/7/2012 10:51:00,20,,,69,,1010.4,26.1,6:51 AM,,12.9,Variable,5.6,0
Clear,7/7/2012 11:51:00,19.4,,,64,,1010.8,26.7,7:51 AM,,14.5,Variable,5.6,0
Clear,7/7/2012 12:51:00,18.3,,,54,,1010.9,28.3,8:51 AM,,14.5,Variable,5.6,0
Clear,7/7/2012 13:51:00,16.7,,,44,,1010.2,30,9:51 AM,,16.1,Variable,9.3,0
Clear,7/7/2012 14:51:00,17.8,,,43,,1010.2,31.7,10:51 AM,,14.5,West,9.3,280
Clear,7/7/2012 15:51:00,19.4,,,42,,1010,33.9,11:51 AM,,14.5,Variable,11.1,0
Clear,7/7/2012 16:51:00,18.9,,,38,,1009.9,35,12:51 PM,,14.5,North,-9999,0
Partly Cloudy,7/7/2012 17:51:00,16.1,,31.5,32,,1009.9,35,1:51 PM,,16.1,WNW,16.7,300
Clear,7/7/2012 18:51:00,18.9,,,45,,1009.5,32.2,2:51 PM,,16.1,Variable,11.1,0
Clear,7/7/2012 19:51:00,20,,,53,,1009.5,30.6,3:51 PM,,14.5,Variable,5.6,0
Clear,7/7/2012 20:51:00,20.6,,,53,,1008.7,31.1,4:51 PM,,14.5,Variable,5.6,0
Clear,7/7/2012 21:51:00,19.4,,,48,,1008.2,31.7,5:51 PM,,16.1,Calm,Calm,0
Clear,7/7/2012 22:51:00,18.9,,,48,,1007.8,31.1,6:51 PM,,16.1,Calm,Calm,0
Partly Cloudy,7/7/2012 23:51:00,18.9,,,51,,1008.1,30,7:51 PM,,16.1,NNE,5.6,20
Clear,7/8/2012 0:51:00,18.9,,,53,,1009.3,29.4,8:51 PM,,16.1,Variable,9.3,0
Mostly Cloudy,7/8/2012 1:51:00,18.9,,,56,,1009.4,28.3,9:51 PM,,16.1,Variable,7.4,0
Overcast,7/8/2012 2:51:00,18.9,,,56,,1009.9,28.3,10:51 PM,,16.1,Variable,5.6,0
Light Rain,7/8/2012 3:47:00,21,Rain,,78,0,1011.1,25,11:47 PM,,2.8,Variable,5.6,0
Heavy Rain,7/8/2012 3:51:00,21.7,Rain,,93,0.08,1010.3,22.8,11:51 PM,,1.2,Variable,9.3,0
Light Rain,7/8/2012 4:10:00,22.8,Rain,,100,0.23,1010.7,22.8,12:10 AM,,2.4,Calm,Calm,0
Light Rain,7/8/2012 4:14:00,22.2,Rain,,96,0.23,1010.7,22.8,12:14 AM,,4,Calm,Calm,0
Heavy Rain,7/8/2012 4:30:00,22.2,Rain,29.6,96,0.26,1012.1,22.8,12:30 AM,,1.2,Variable,9.3,0
Light Rain,7/8/2012 4:41:00,22.2,Rain,,100,0.42,1011.1,22.2,12:41 AM,,4,Calm,Calm,0
Mostly Cloudy,7/8/2012 4:48:00,22,,,94,0.42,1011.1,23,12:48 AM,,4.8,West,5.6,270
Mostly Cloudy,7/8/2012 4:51:00,22.2,,,100,0.42,1010.1,22.2,12:51 AM,,4,Calm,Calm,0
Mostly Cloudy,7/8/2012 5:04:00,22.2,,,96,,1011.1,22.8,1:04 AM,,6.4,WNW,5.6,290
Light Rain,7/8/2012 5:42:00,22.2,Rain,,96,0.02,1010.7,22.8,1:42 AM,,4,Variable,5.6,0
Light Rain,7/8/2012 5:51:00,21.7,Rain,,97,0.09,1009.8,22.2,1:51 AM,,2.8,West,7.4,280
Overcast,7/8/2012 5:59:00,22.2,,,100,0,1010.4,22.2,1:59 AM,,4,Calm,Calm,0
Mostly Cloudy,7/8/2012 6:08:00,22.2,,,96,0,1010.4,22.8,2:08 AM,,4.8,Calm,Calm,0
Partly Cloudy,7/8/2012 6:18:00,22.2,,,96,0,1010.4,22.8,2:18 AM,,4,West,5.6,280
Scattered Clouds,7/8/2012 6:29:00,22.2,,,96,0,1010.4,22.8,2:29 AM,,9.7,Calm,Calm,0
Overcast,7/8/2012 6:51:00,22.2,,,96,0,1009.6,22.8,2:51 AM,,8,WNW,5.6,300
Overcast,7/8/2012 7:51:00,21.7,,,93,,1009.6,22.8,3:51 AM,,12.9,WNW,5.6,290
Overcast,7/8/2012 8:51:00,21.7,,,91,,1010.2,23.3,4:51 AM,,11.3,Calm,Calm,0
Mostly Cloudy,7/8/2012 9:51:00,20.6,,,85,,1010.2,23.3,5:51 AM,,14.5,Variable,5.6,0
Partly Cloudy,7/8/2012 10:51:00,20,,,82,,1010.8,23.3,6:51 AM,,16.1,Calm,Calm,0
Scattered Clouds,7/8/2012 11:51:00,19.4,,,74,,1011.6,24.4,7:51 AM,,16.1,Calm,Calm,0
Clear,7/8/2012 12:51:00,20.6,,,79,,1011.5,24.4,8:51 AM,,16.1,Variable,7.4,0
Clear,7/8/2012 13:51:00,17.2,,,58,,1011.3,26.1,9:51 AM,,16.1,NNW,7.4,340
Clear,7/8/2012 14:51:00,18.3,,,56,,1010.8,27.8,10:51 AM,,16.1,Variable,5.6,0
Mostly Cloudy,7/8/2012 15:51:00,15,,,41,,1010.9,29.4,11:51 AM,,16.1,Variable,7.4,0
Clear,7/8/2012 16:51:00,13.3,,,34,,1010.7,31.1,12:51 PM,,16.1,Variable,11.1,0
Clear,7/8/2012 17:51:00,13.9,,,33,,1010.4,32.2,1:51 PM,,16.1,NE,7.4,50
Clear,7/8/2012 18:51:00,13.9,,,33,,1010,32.2,2:51 PM,,16.1,Calm,Calm,0
Partly Cloudy,7/8/2012 19:51:00,16.1,,,41,,1009.6,30.6,3:51 PM,,16.1,Calm,Calm,0
Mostly Cloudy,7/8/2012 20:51:00,16.1,,,39,,1009.3,31.7,4:51 PM,,16.1,Calm,Calm,0
Mostly Cloudy,7/8/2012 21:51:00,17.2,,,48,,1009.1,29.4,5:51 PM,,16.1,South,13,170
Scattered Clouds,7/8/2012 22:51:00,17.8,,,53,,1009.1,28.3,6:51 PM,,16.1,Variable,7.4,0
Mostly Cloudy,7/8/2012 23:51:00,20,,,62,,1009.4,27.8,7:51 PM,,16.1,Variable,11.1,0
Scattered Clouds,7/9/2012 0:51:00,19.4,,,64,,1009.8,26.7,8:51 PM,,16.1,Calm,Calm,0
Clear,7/9/2012 1:51:00,20,,,69,,1010.7,26.1,9:51 PM,,16.1,Calm,Calm,0
Clear,7/9/2012 2:51:00,16.7,,,51,,1011.1,27.8,10:51 PM,,16.1,Calm,Calm,0
Mostly Cloudy,7/9/2012 3:51:00,14.4,,,45,,1011.6,27.2,11:51 PM,,16.1,NNE,13,20
Clear,7/9/2012 4:51:00,13.9,,,47,,1011.2,26.1,12:51 AM,,16.1,Variable,7.4,0
Scattered Clouds,7/9/2012 5:51:00,13.3,,,48,,1011.4,25,1:51 AM,,16.1,NE,9.3,50
Mostly Cloudy,7/9/2012 6:51:00,12.8,,,47,,1011.9,25,2:51 AM,,16.1,Variable,5.6,0
Scattered Clouds,7/9/2012 7:51:00,12.8,,,48,,1011.8,24.4,3:51 AM,,16.1,NE,9.3,50
Scattered Clouds,7/9/2012 8:51:00,12.2,,,48,,1012,23.9,4:51 AM,,16.1,Variable,11.1,0
Clear,7/9/2012 9:51:00,12.8,,,53,,1012.7,22.8,5:51 AM,,16.1,NE,11.1,50
Mostly Cloudy,7/9/2012 10:51:00,12.2,,,50,,1013.6,23.3,6:51 AM,,16.1,NE,11.1,50
Mostly Cloudy,7/9/2012 11:51:00,12.2,,,51,,1013.8,22.8,7:51 AM,,16.1,NE,7.4,50
Mostly Cloudy,7/9/2012 12:51:00,12.2,,,48,,1014.1,23.9,8:51 AM,,16.1,ENE,13,70
Clear,7/9/2012 13:51:00,11.7,,,46,,1014.1,23.9,9:51 AM,,16.1,ENE,14.8,70
Clear,7/9/2012 14:51:00,12.8,,,47,,1014,25,10:51 AM,,16.1,Variable,9.3,0
Clear,7/9/2012 15:51:00,11.7,,,39,,1014,26.7,11:51 AM,,16.1,Calm,Calm,0
Clear,7/9/2012 16:51:00,12.2,,,37,,1013.8,28.3,12:51 PM,,16.1,Calm,Calm,0
Clear,7/9/2012 17:51:00,11.7,,,34,,1013.7,28.9,1:51 PM,,16.1,Variable,5.6,0
Mostly Cloudy,7/9/2012 18:51:00,12.2,,,35,,1013.3,28.9,2:51 PM,,16.1,Calm,Calm,0
Mostly Cloudy,7/9/2012 19:51:00,15,,,45,,1013.1,27.8,3:51 PM,,16.1,Variable,7.4,0
Partly Cloudy,7/9/2012 20:51:00,14.4,,,44,,1012.9,27.8,4:51 PM,,16.1,Variable,9.3,0
Partly Cloudy,7/9/2012 21:51:00,14.4,,,45,,1012.8,27.2,5:51 PM,,16.1,Calm,Calm,0
Partly Cloudy,7/9/2012 22:51:00,15,,,52,,1013.1,25.6,6:51 PM,,16.1,Calm,Calm,0
Partly Cloudy,7/9/2012 23:51:00,14.4,,,52,,1013.7,25,7:51 PM,,16.1,Variable,11.1,0
Mostly Cloudy,7/10/2012 0:51:00,14.4,,,54,,1013.9,24.4,8:51 PM,,16.1,Calm,Calm,0
Scattered Clouds,7/10/2012 1:51:00,13.9,,,53,,1014.7,23.9,9:51 PM,,16.1,Variable,5.6,0
Clear,7/10/2012 2:51:00,13.9,,,53,,1014.7,23.9,10:51 PM,,16.1,Calm,Calm,0
Clear,7/10/2012 3:51:00,14.4,,,57,,1014.7,23.3,11:51 PM,,16.1,WSW,7.4,240
Clear,7/10/2012 4:51:00,14.4,,,59,,1014.7,22.8,12:51 AM,,16.1,Calm,Calm,0
Overcast,7/10/2012 5:51:00,14.4,,,57,,1015,23.3,1:51 AM,,16.1,Calm,Calm,0
Overcast,7/10/2012 6:51:00,15,,,61,,1015.1,22.8,2:51 AM,,16.1,Calm,Calm,0
Clear,7/10/2012 8:51:00,15.6,,,68,,1015.5,21.7,4:51 AM,,16.1,North,9.3,10
Clear,7/10/2012 9:51:00,11.1,,,51,,1016.2,21.7,5:51 AM,,16.1,Variable,5.6,0
Clear,7/10/2012 10:51:00,12.2,,,55,,1016.3,21.7,6:51 AM,,16.1,NE,5.6,40
Clear,7/10/2012 11:51:00,10,,,44,,1017,22.8,7:51 AM,,16.1,ENE,9.3,60
Clear,7/10/2012 12:51:00,11.1,,,46,,1017.1,23.3,8:51 AM,,16.1,ESE,7.4,120
Clear,7/10/2012 13:51:00,12.2,,,48,,1017.5,23.9,9:51 AM,,16.1,Variable,9.3,0
Overcast,7/10/2012 14:51:00,12.8,,,47,,1018,25,10:51 AM,,16.1,East,14.8,100
